book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn13,original_publication_year,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,Cluster
1,2767052,2767052,2792775,272,9780439023480.0,2008.0,4.34,4780653,4942365,155254,66715,127936,560092,1481305,2706317,2
2,3,3,4640799,491,9780439554930.0,1997.0,4.44,4602479,4800065,75867,75504,101676,455024,1156318,3011543,2
3,41865,41865,3212258,226,9780316015840.0,2005.0,3.57,3866839,3916824,95009,456191,436802,793319,875073,1355439,2
4,2657,2657,3275794,487,9780061120080.0,1960.0,4.25,3198671,3340896,72586,60427,117415,446835,1001952,1714267,2
5,4671,4671,245494,1356,9780743273560.0,1925.0,3.89,2683664,2773745,51992,86236,197621,606158,936012,947718,2
6,11870085,11870085,16827462,226,9780525478810.0,2012.0,4.26,2346404,2478609,140739,47994,92723,327550,698471,1311871,2
7,5907,5907,1540236,969,9780618260300.0,1937.0,4.25,2071616,2196809,37653,46023,76784,288649,665635,1119718,2
8,5107,5107,3036731,360,9780316769170.0,1951.0,3.79,2044241,2120637,44920,109383,185520,455042,661516,709176,2
9,960,960,3338963,311,9781416524790.0,2000.0,3.85,2001311,2078754,25112,77841,145740,458429,716569,680175,2
10,1885,1885,3060926,3455,9780679783270.0,1813.0,4.24,2035490,2191465,49152,54700,86485,284852,609755,1155673,2
11,77203,77203,3295919,283,9781594480000.0,2003.0,4.26,1813044,1878095,59730,34288,59980,226062,628174,929591,2
12,13335037,13335037,13155899,210,9780062024040.0,2011.0,4.24,1903563,2216814,101023,36315,82870,310297,673028,1114304,2
13,5470,5470,153313,995,9780451524940.0,1949.0,4.14,1956832,2053394,45518,41845,86425,324874,692021,908229,2
14,7613,7613,2207778,896,9780452284240.0,1945.0,3.87,1881700,1982987,35472,66854,135147,433432,698642,648912,2
15,48855,48855,3532896,710,9780553296980.0,1947.0,4.1,1972666,2024493,20825,45225,91270,355756,656870,875372,2
16,2429135,2429135,1708725,274,9780307269750.0,2005.0,4.11,1808403,1929834,62543,54835,86051,285413,667485,836050,2
17,6148028,6148028,6171458,201,9780439023500.0,2009.0,4.3,1831039,1988079,88538,10492,48030,262010,687238,980309,2
18,5,5,2402163,376,9780439655480.0,1999.0,4.53,1832823,1969375,36099,6716,20413,166129,509447,1266670,2
19,34,34,3204327,566,9780618346260.0,1954.0,4.34,1766803,1832541,15333,38031,55862,202332,493922,1042394,2
20,7260188,7260188,8812783,239,9780439023510.0,2010.0,4.03,1719760,1870748,96274,30144,110498,373060,618271,738775,2
21,2,2,2809203,307,9780439358070.0,2003.0,4.46,1735368,1840548,28685,9528,31577,180210,494427,1124806,2
22,12232938,12232938,1145090,183,9780316166680.0,2002.0,3.77,1605173,1661562,36642,62777,131188,404699,583575,479323,2
23,15881,15881,6231171,398,9780439064870.0,1998.0,4.37,1779331,1906199,34172,8253,42251,242345,548266,1065084,2
24,6,6,3046572,332,9780439139600.0,2000.0,4.53,1753043,1868642,31084,6676,20210,151785,494926,1195045,2
25,136251,136251,2963218,263,9780545010220.0,2007.0,4.61,1746574,1847395,51942,9363,22245,113646,383914,1318227,2
26,968,968,2982101,350,9780307277670.0,2003.0,3.79,1447148,1557292,41560,71345,126493,340790,539277,479387,2
27,1,1,41335427,275,9780439785970.0,2005.0,4.54,1678823,1785676,27520,7308,21516,136333,459028,1161491,2
28,7624,7624,2766512,458,9780140283330.0,1954.0,3.64,1605019,1671484,26886,92779,160295,425648,564916,427846,2
